Cospri's Malice,コスプリの悪意
Visage of Ayah,アーヤの容貌
Forbidden Gaze,禁断の眼差し
Atziri's Disdain,アッツィリの軽蔑
Wings of Caelyn,ケイリンの翼
Corona of the Red Sun,赤き太陽のコロナ
Gravis Grimace,グラビス・グリマス
Greymake,グレイメイク
The Smiling Knight,微笑む騎士
The Vile Knight,卑劣な騎士
Crown of the Victor,勝者の冠
Bronzebeard,青銅の髭
Cornathaum,コーナサウム
The Deepest Tower,最深の塔
Brynhand's Mark,ブリンハンドの印
Pulpit Pulper,パルピットパルパー
Trenchtimbre,トレンチティンバー
Sculpted Suffering,彫刻されし苦痛
Seeing Stars,見つめる星
Goldshaper,ゴールドシェイパー
Bluetongue,ブルータン
Solus Ipse,唯我
Sine Aequo,不平等
Ab Aeterno,永遠から
The Sentry,哨兵
Matsya,マーツヤ
Nazir's Judgement,ナズィルの審判
Wax and Wane,ワックス・アンド・ウェイン
Polcirkeln,プールシルケルン
The Burrower,潜る者
Vigilant View,警戒の目
Evergrasping Ring,貪欲の指輪
Perandus Seal,ペランダスの印鑑指輪
Prized Pain,尊ばれし苦痛
Glowswarm,グロウスウォーム
Seed of Cataclysm,災厄の種子
Cracklecreep,クラックルクリープ
Blistering Bond,焼け付く絆
Blessed Bonds,祝福されし絆
Rhea's Rhythm,レアのリズム
Font of Power,力の源泉
Heartseeker,ハートシーカー
Dunkelhalt,ダンケルハルト
Calgyra's Arc,カルジャイラの弧
Sunsplinter,サンスプリンター
Nocturne,夜想曲
Rondel De Ezo,ロンデル・デ・エゾ
Bloodbarrier,血の関門
Silverthorne,シルバーソーン
Mageguard,メイジガード
Dionadair,ディオナデア
Wings of Vastiri,ウィングス・オブ・ヴァスティリ
Window to Paradise,楽園への窓
Arvil's Wheel,アルヴィルの車輪
Feathered Fortress,羽根付き要塞
Oaksworn,楢の誓い
Crest of Ardura,アードゥラの紋章
Herald of Wraeclast,ウィーラックストのヘラルド
Earthbound,アースバウンド
Grimgrasp,グリムグラップ
Trephina,トレフィナ
The Empty Roar,虚ろな咆哮
Shyaba,シャバ
Zerphi's Genesis,ゼルフィの誕生
The Wicked Quill,邪悪な針
Rod of Enervation,衰弱のロッド
Serpent's Egg,蛇の卵
The Mutable Star,通変星
The Eternal Spark,永遠の火花
The Dark Defiler,闇の冒涜者
Bushwhack,ブッシュワック
Horns of Bynden,ビンデンの角笛
Luminous Pace,輝かしい歩調
The Hollow Mask,虚ろの仮面
Circle of Protection,プロテクションの円環
Wandering Reliquary,彷徨う遺物箱
Collapsing Horizon,崩壊する地平線
Sacred Flame,聖なる炎
Atsak's Sight,アツァクの視野
Thunderstep,サンダーステップ
Garuk's Current,ガルクの電流
Ironride,アイアンライド
Bitterbloom,ビターブルーム
Sierran Inheritance,シエラの遺産
Myris Uxor,ミリスの細君
Mask of the Sanguimancer,操血術師の仮面
Blueflame Bracers,蒼炎の籠手
Serpent's Lesson,蛇の学習
Whisper of the Brotherhood,一党の囁き
Levinstone,レヴィンストーン
Byrnabas,バーナバス
Guiding Palm of the Heart,心の導きの掌
Morior Invictus,不屈なる者として死す
Temporalis,テンポラリス
Sekhema's Resolve,セケマの決意
Beetlebite,ビートルバイト
Beyond Reach,手の届かぬ所
Heroic Tragedy,英雄の悲劇
From Nothing,虚空より来たる
Controlled Metamorphosis,制御されし変態
Prism of Belief,信仰のプリズム
Against the Darkness,闇との対立
The Remembered Tales,記憶された物語
The Peacemaker's Draught,調停者の杯
The Desperate Alliance,必死の同盟
The Burden of Leadership,指導者の重荷
The Changing Seasons,移りゆく季節
Ingenuity,創造力
Strugglescream,ストラグルスクリーム
Skysliver,スカイシルバー
INCOMPLETE,未完成
Splinter of Lorrata,ロラッタの破片
Daevata's Wind,ダイヴァータの風
Tyranny's Grip,圧政の手
Chainsting,チェインスティング
Demigod's Virtue,半神の美徳
The Hammer of Faith,信仰の鎚
The Road Warrior,道の戦士
Demigod's Duty,デミゴッドの義務
Demigod's Loyalty,デミゴッドの忠誠
Demigod's Valor,デミゴッドの勇気
Demigod's Fortitude,デミゴッドの剛健
Demigod's Judgement,半神の裁き
Saitha's Spear,サイザの槍
Beira's Anguish,ベイラの苦悶
The Fall of the Axe,斧の一振り
The Grand Project,グランド・プロジェクト
Seastrider,シーストライダー
Silks of Veneration,畏敬の衣
Gloamgown,グロームガウン
The Fallen Formation,堕ちたる陣形
Sacrosanctum,サクロサンクタム
The Gnashing Sash,歯を鳴らす帯
Bursting Decay,溢れる腐敗
Death Articulated,明確な死
The Grand Design,壮大な計画
Windpiercer,ウィンドピアサー
Double Vision,複視
Rhoa Reaver,ロアリーバー
Black Vise,ブラックバイス
Leopold's Applause,レオポルドの拍手
Valako's Vice,ヴァラコの悪心
The Prisoner's Manacles,囚人の枷
Strike of Inspiration,閃きの打撃
The Lethal Draw,致死の一矢
Murkshaft,マークシャフト
Tale of the Tempest,テンペストの物語
Spire of Ire,怒りの柱
Tangletongue,タングルタン
Courtly Discord,宮廷の不和
The Black Insignia,黒の記章
Cursecarver,呪い刻み
Ngamahu's Chosen,ナマフに選ばれしもの
Breath of the Mountains,山の息吹
Valako's Roar,ヴァラコの雄叫び
For Utopia,楽園のために
Nascent Hope,希望の芽吹き
Sanguis Heroum,サングイス・ヘロウム
Arakaali's Gift,アラカーリの贈り物
The Black Cat,黒猫
Forsaken Bangle,見捨てられしバングル
Rite of Passage,通過儀礼
Bijouborne,ビジューボーン
Season of the Hunt,ハントの季節
Cruel Hegemony,クルーエル・ヘゲモニー
Freedom of Faith,信仰の自由
Forgotten By Time,時の忘れ物
Wraeclast Besieged,包囲されたウィーラックスト
Clear Skies,晴天
Visions of Paradise,パラダイスの幻影
The Last Lament,最後の悲しみ
Cadiro's Gambit,カディロの博打
Guiding Palm of the Eye,目の導きの掌
Guiding Palm of the Mind,精神の導きの掌
Adonia's Ego,アドニアのエゴ
Palm of the Dreamer,夢見人の掌
Undying Hate,不死の憎しみ
Grip of Kulemak,クーラマクの掌握
Heart of the Well,井戸の心臓
Fairgraves' Curse,フェアグレーヴスの呪い
The Unborn Lich,産まれ出でぬリッチ
Blood of the Warrior,戦士の血
Ynda's Stand,インダの抵抗
The Queller of Minds,精神を鎮めるもの
The Selfish Shepherd,利己的な羊飼い
The Hateful Accuser,憎悪する告発者
The Light of Meaning,意味の光
The Living Blade,生ける刃
Admiral's Arrogance,提督の傲慢
Tawhoa's Felling,タホアの伐採
Serle's Masterwork,セルレの最高傑作
Sap of the Seasons,四季の樹液
Mightblood Ire,マイトブラッドの怒り
Wildfire Phloem,野火の師部
The Battle Within,内なる戦い
Grasping Nightshade,束縛するベラドンナ
Kaom's Command,カオムの命令
Eye of the Djinn,ジンの目
Lone Adventurer,孤独な冒険者
Twist of Fate,運命のいたずら
Wellspring of Creation,創造の源泉
Dance of Destruction,破壊の舞
Singular Focus,唯一の焦点
Eldritch Gaze,不気味な眼差し
Wrath of the Cosmos,宇宙の怒り
Shadow Shaping,影の実体化
Extreme Archaeology,究極の考古学
Crop Rotation,輪作
Timeless Conflict,タイムレスコンフリクト
Unending Nightmare,終わらない悪夢
Immutable Dogma,変わらない教義
Arbitrary Tenets,気まぐれな信条
Endless Tide,終わりなき流れ
Speaker of the Dead,死者の話し手
Cassia's Pride,カッシアのプライド
Meticulous Appraiser,緻密な鑑定士
Lucid Dreams,明晰夢
Destructive Play,破壊的な遊戯
Bold Undertakings,大胆な事業
Gruelling Gauntlet,過酷な挑戦
Ruinous Wager,崩壊した掛け
Thorough Exploration,徹底的な探索
Black Thumb,萎れの才
Loved by the Sun,太陽の寵児
Dimensional Barrier,次元障壁
Trade Embargo,禁輸
Sealed Domain,封印されし領域
Servant of Order,秩序の従者
Fungal Remission,真菌寛解
Secular Focus,世俗への集中
Straight and Narrow,まっとうな生き方
Ominous Silence,不吉な沈黙
Smash and Grab,スマッシュ・アンド・グラブ
Crystallised Power,結晶化された力
Well Supplied,十分な補給
Perceived Greatness,偉大さの認識
Twisted Wish,歪んだ願い
Starcaller,星喚び
Prospero's Protection,プロスペロの守護
Enmity's Embrace,敵意の抱擁
Howlcrack,ハウルクラック
Scornflux,スコーンフラックス
Azadi Crest,アザディの紋章
Binds of Bloody Vengeance,血塗られた復讐の枷
Hand of Heresy,異端の手
Bound By Destiny,運命の定め
Spinehail,スパインヘイル
Squirming Terror,蠢く恐怖
The Arkhon's Tools,アルコーンの道具
Mystic Refractor,神秘の屈折器
Betrayal's Sting,裏切りの一刺し
Coiling Whisper,とぐろ巻く囁き
Venarius' Astrolabe,ヴェナリウスのアストロラーベ
Servant of Decay,腐敗の下僕
Cadigan's Authority,カディガンの権威
Legacy of the Rose,薔薇の遺産
Seven Teachings,七つの教え
The Dark Monarch,闇の王
Whispers of Infinity,無限の囁き
Bitter Instinct,厳しい野生
The Unseen Hue,見えざる色彩
Festering Resentment,強まる恨み
The Hallowed Monarch,神聖なる王
Hand of the Lords,主らの手
The Grey Wind,灰色の風
The Will of Tul,トゥルの意志
The Will of Xoph,ゾフの意志
The Will of Esh,エシュの意志
The Will of Uul-Netol,ウール・ネトルの意志
The Sundered Will,砕かれた意志
Lost Unity,失われし統一
Wing of the Wyvern,ワイバーンの翼
The Caged Mammoth,閉じ込められたマンモス
Bonemeld,ボーンメルド
Refuge in Isolation,孤立による避難
The Golden Charlatan,金色の詐欺師
Woespike,ウォースパイク
Haunting Memories,忘れられぬ記憶
The Monastery Bell,修道院の鐘
Rigwald's Hunt,リグワルドの狩り
Jiquani's Potential,ジクアニの可能性
Unlight Extant,現存する無光
Cowards' Wail,臆病者の叫び
Wellwater Phylactery,井戸水の霊瓶
Amor Mandragora,マンドラゴラの愛
Fury of the King,王の怒り
Atziri's Contempt,アッツィリの軽蔑
Flesh Crucible,肉のるつぼ
Hysseg's Claw,ヒッセグの爪
Lavianga's Spirits,ラヴィアンガの心
The Flesh Poppet,肉の呪い人形
Unforeseen Consequences,予期せぬ結果
Refiner's Bargain,精錬者の取引
Khatal's Weeping,カタルの嘆き
Khatal's Geyser,カタルの噴出
The Sands of Time,時の砂
Screams of the Desiccated,干からびた者たちの叫び
Skysunder,スカイサンダー
Fleshrender,フレッシュレンダー
The Sacred Chalice,神聖な聖杯
The Desecrated Chalice,冒涜された聖杯
Saresh's Darkness,サレシュの闇
Solerai's Radiance,ソレライの光輝
The Flame of Hope,希望の炎
The Broken Elegy,断たれた哀歌
The Bane of Hope,希望の破滅
Replica Gifts from Above,天からの恩恵 (レプリカ)
The Bandit Lord's Band,盗賊王の指輪
